epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4952,1.12625,2.36703,1.18048,0,0,0,0,0,544.203,0,0.000647619,0.000647619,0.000647619
2,61.9093,1.22084,1.38684,1.19553,0,0,0,0,0,313.019,0,0.00129802,0.00129802,0.00129802
3,80.9426,1.15411,1.09394,1.2029,0,0,0,0,0,413.809,0,0.00193192,0.00193192,0.00193192
4,103.171,1.15651,1.01642,1.19306,0,0,0,0,0,42.8,0,0.00192575,0.00192575,0.00192575
5,122.47,1.19429,0.87659,1.2192,0,0,0,0,0,285.61,0,0.001901,0.001901,0.001901
6,141.578,1.12076,0.79474,1.18152,0,0,0,0,0,121.937,0,0.00187625,0.00187625,0.00187625
7,162.228,1.15837,0.76339,1.2151,0,0,0,0,0,36.9323,0,0.0018515,0.0018515,0.0018515
8,180.911,1.07481,0.79054,1.16802,0,0,0,0,0,53.1486,0,0.00182675,0.00182675,0.00182675
9,200.472,1.10939,0.76088,1.14324,0,0,0,0,0,119.32,0,0.001802,0.001802,0.001802
10,368.357,1.15289,0.78744,1.20451,0,0,0,0,0,65.3872,0,0.00177725,0.00177725,0.00177725
11,387.369,1.09162,0.93835,1.1428,0,0,0,0,0,90.076,0,0.0017525,0.0017525,0.0017525
12,407.738,1.10751,0.76914,1.19525,0,0,0,0,0,115.689,0,0.00172775,0.00172775,0.00172775
13,428.906,1.08528,0.72242,1.15089,0,0,0,0,0,153.479,0,0.001703,0.001703,0.001703
14,449.199,1.05751,0.68788,1.16331,0,0,0,0,0,40.861,0,0.00167825,0.00167825,0.00167825
15,469.07,1.00668,0.60813,1.13577,0,0,0,0,0,75.4666,0,0.0016535,0.0016535,0.0016535
16,488.537,1.00192,0.67614,1.12577,0,0,0,0,0,62.7594,0,0.00162875,0.00162875,0.00162875
17,508.212,1.00171,0.65267,1.13233,0,0,0,0,0,84.2499,0,0.001604,0.001604,0.001604
18,527.668,1.05075,0.64923,1.19015,0,0,0,0,0,74.4754,0,0.00157925,0.00157925,0.00157925
